,sex,age,Pstatus,famrel,Medu,Mjob,Fedu,Fjob,goout,health,Dalc
0,0,18,0,4,4,at_home,4,teacher,4,3,1
1,0,17,1,5,1,at_home,1,other,3,3,1
2,0,15,1,4,1,at_home,1,other,2,3,2
3,0,15,1,3,4,health,2,services,2,5,1
4,0,16,1,4,3,other,3,other,2,5,1
5,1,16,1,5,4,services,3,other,2,5,1
6,1,16,1,4,2,other,2,other,4,3,1
7,0,17,0,4,4,other,4,teacher,4,1,1
8,1,15,0,4,3,services,2,other,2,1,1
9,1,15,1,5,3,other,4,other,1,5,1
10,0,15,1,3,4,teacher,4,health,3,2,1
11,0,15,1,5,2,services,1,other,2,4,1
12,1,15,1,4,4,health,4,services,3,5,1
13,1,15,1,5,4,teacher,3,other,3,3,1
14,1,15,0,4,2,other,2,other,2,3,1
15,0,16,1,4,4,health,4,other,4,2,1
16,0,16,1,3,4,services,4,services,3,2,1
17,0,16,1,5,3,other,3,other,2,4,1
18,1,17,1,5,3,services,2,services,5,5,2
19,1,16,1,3,4,health,3,other,3,5,1
20,1,15,1,4,4,teacher,3,other,1,1,1
21,1,15,1,5,4,health,4,health,2,5,1
22,1,16,1,4,4,teacher,2,other,1,5,1
23,1,16,1,5,2,other,2,other,4,5,2
24,0,15,1,4,2,services,4,health,2,5,1
25,0,16,1,1,2,services,2,services,2,5,1
26,1,15,1,4,2,other,2,other,2,5,1
27,1,15,1,2,4,health,2,services,4,1,2
28,1,16,0,5,3,services,4,other,3,5,1
29,1,16,1,4,4,teacher,4,teacher,5,5,5
30,1,15,1,5,4,health,4,services,2,5,3
31,1,15,1,4,4,services,4,services,1,5,1
32,1,15,1,4,4,teacher,3,at_home,2,5,1
33,1,15,1,5,3,other,3,other,2,2,1
34,1,16,1,5,3,other,2,other,3,5,1
35,0,15,1,3,2,other,3,other,1,5,1
36,1,15,1,5,4,teacher,3,services,3,4,1
37,1,16,0,2,4,other,4,teacher,3,5,1
38,0,15,1,4,3,services,4,health,2,5,1
39,0,15,1,4,2,at_home,2,other,1,2,1
40,0,16,1,3,2,other,2,other,3,3,1
41,1,15,1,5,4,teacher,4,other,3,5,2
42,1,15,1,4,4,services,4,teacher,3,5,1
43,1,15,1,5,2,services,2,services,1,1,1
44,0,16,1,4,2,other,2,at_home,3,5,2
45,0,15,0,5,4,other,3,other,2,5,1
46,0,16,0,2,3,other,3,services,5,3,1
47,1,16,1,4,4,health,3,services,2,2,1
48,1,15,1,4,4,teacher,2,other,3,5,2
49,0,15,1,4,4,services,4,teacher,4,3,1
50,0,16,1,4,2,services,2,services,3,4,2
51,0,15,1,4,4,health,2,other,3,5,1
52,1,15,0,5,4,health,2,health,5,5,3
53,0,15,1,3,4,services,4,services,4,5,2
54,0,15,0,5,3,other,3,other,4,1,4
55,0,16,0,5,2,other,1,other,4,2,1
