,sex,age,Pstatus,famrel,Medu,Mjob,Fedu,Fjob,goout,health,Dalc,Walc
0,0.0,18,0.0,4,4,at_home,4,teacher,4,3,1,1
1,0.0,17,1.0,5,1,at_home,1,other,3,3,1,1
2,0.0,15,1.0,4,1,at_home,1,other,2,3,2,3
3,0.0,15,1.0,3,4,health,2,services,2,5,1,1
4,0.0,16,1.0,4,3,other,3,other,2,5,1,2
5,1.0,16,1.0,5,4,services,3,other,2,5,1,2
6,1.0,16,1.0,4,2,other,2,other,4,3,1,1
7,0.0,17,0.0,4,4,other,4,teacher,4,1,1,1
8,1.0,15,0.0,4,3,services,2,other,2,1,1,1
9,1.0,15,1.0,5,3,other,4,other,1,5,1,1
10,0.0,15,1.0,3,4,teacher,4,health,3,2,1,2
11,0.0,15,1.0,5,2,services,1,other,2,4,1,1
12,1.0,15,1.0,4,4,health,4,services,3,5,1,3
13,1.0,15,1.0,5,4,teacher,3,other,3,3,1,2
14,1.0,15,0.0,4,2,other,2,other,2,3,1,1
15,0.0,16,1.0,4,4,health,4,other,4,2,1,2
16,0.0,16,1.0,3,4,services,4,services,3,2,1,2
17,0.0,16,1.0,5,3,other,3,other,2,4,1,1
18,1.0,17,1.0,5,3,services,2,services,5,5,2,4
19,1.0,16,1.0,3,4,health,3,other,3,5,1,3
20,1.0,15,1.0,4,4,teacher,3,other,1,1,1,1
21,1.0,15,1.0,5,4,health,4,health,2,5,1,1
22,1.0,16,1.0,4,4,teacher,2,other,1,5,1,3
23,1.0,16,1.0,5,2,other,2,other,4,5,2,4
24,0.0,15,1.0,4,2,services,4,health,2,5,1,1
25,0.0,16,1.0,1,2,services,2,services,2,5,1,3
26,1.0,15,1.0,4,2,other,2,other,2,5,1,2
27,1.0,15,1.0,2,4,health,2,services,4,1,2,4
28,1.0,16,0.0,5,3,services,4,other,3,5,1,1
29,1.0,16,1.0,4,4,teacher,4,teacher,5,5,5,5
30,1.0,15,1.0,5,4,health,4,services,2,5,3,4
31,1.0,15,1.0,4,4,services,4,services,1,5,1,1
32,1.0,15,1.0,4,4,teacher,3,at_home,2,5,1,1
33,1.0,15,1.0,5,3,other,3,other,2,2,1,1
34,1.0,16,1.0,5,3,other,2,other,3,5,1,1
35,0.0,15,1.0,3,2,other,3,other,1,5,1,1
36,1.0,15,1.0,5,4,teacher,3,services,3,4,1,1
37,1.0,16,0.0,2,4,other,4,teacher,3,5,1,1
38,0.0,15,1.0,4,3,services,4,health,2,5,1,1
39,0.0,15,1.0,4,2,at_home,2,other,1,2,1,1
40,0.0,16,1.0,3,2,other,2,other,3,3,1,2
41,1.0,15,1.0,5,4,teacher,4,other,3,5,2,4
42,1.0,15,1.0,4,4,services,4,teacher,3,5,1,1
43,1.0,15,1.0,5,2,services,2,services,1,1,1,1
44,0.0,16,1.0,4,2,other,2,at_home,3,5,2,2
45,0.0,15,0.0,5,4,other,3,other,2,5,1,1
46,0.0,16,0.0,2,3,other,3,services,5,3,1,4
47,1.0,16,1.0,4,4,health,3,services,2,2,1,1
48,1.0,15,1.0,4,4,teacher,2,other,3,5,2,2
49,0.0,15,1.0,4,4,services,4,teacher,4,3,1,1
50,0.0,16,1.0,4,2,services,2,services,3,4,2,3
51,0.0,15,1.0,4,4,health,2,other,3,5,1,1
52,1.0,15,0.0,5,4,health,2,health,5,5,3,4
53,0.0,15,1.0,3,4,services,4,services,4,5,2,3
54,0.0,15,0.0,5,3,other,3,other,4,1,4,4
55,0.0,16,0.0,5,2,other,1,other,4,2,1,1
56,0.0,15,0.0,4,4,services,3,services,2,1,1,1
57,1.0,15,1.0,3,4,teacher,4,health,2,5,1,1
58,1.0,15,1.0,4,1,other,2,at_home,2,5,1,1
59,0.0,16,1.0,4,4,services,2,other,3,5,1,1
60,0.0,16,1.0,2,4,health,4,teacher,4,4,2,3
61,0.0,16,1.0,5,1,services,1,services,5,5,5,5
62,0.0,16,1.0,4,1,other,2,services,3,1,1,1
63,0.0,16,1.0,3,4,teacher,3,health,4,4,2,4
64,0.0,15,1.0,4,4,services,3,services,4,2,2,4
65,0.0,16,1.0,5,4,teacher,3,services,3,1,1,2
66,1.0,15,0.0,1,4,other,4,services,3,3,5,5
67,0.0,16,1.0,4,3,services,1,other,3,5,1,2
68,0.0,15,1.0,4,2,health,2,services,3,4,1,3
69,0.0,15,1.0,4,3,other,1,other,2,3,2,3
70,1.0,16,1.0,4,3,other,1,other,2,5,1,1
71,1.0,15,1.0,3,4,other,2,other,3,3,1,1
72,0.0,15,1.0,3,1,other,1,other,4,5,2,4
73,1.0,16,1.0,5,3,other,1,other,2,5,2,2
74,0.0,16,1.0,4,3,other,3,services,3,5,2,4
75,1.0,15,1.0,4,4,teacher,3,other,3,5,2,3
76,1.0,15,1.0,3,4,teacher,0,other,3,1,1,1
77,0.0,16,1.0,5,2,other,2,other,3,3,1,3
78,1.0,17,1.0,4,2,other,1,other,1,3,1,1
79,0.0,16,1.0,2,3,at_home,4,other,3,3,1,2
80,1.0,15,1.0,3,2,other,3,services,2,3,1,3
81,1.0,15,1.0,5,2,other,3,other,2,5,1,2
82,0.0,15,1.0,4,3,services,2,other,4,5,1,1
83,1.0,15,1.0,5,2,services,2,services,3,4,1,3
84,0.0,15,1.0,4,1,other,1,other,2,4,2,3
85,0.0,15,1.0,4,4,services,4,services,4,5,2,3
86,0.0,16,1.0,4,2,at_home,2,other,4,2,1,2
87,0.0,15,1.0,5,4,other,2,other,3,1,1,3
88,1.0,16,1.0,4,2,services,2,other,2,3,1,1
89,1.0,16,0.0,4,4,teacher,4,health,3,5,3,5
90,0.0,16,1.0,4,3,other,3,other,3,4,1,3
91,0.0,15,1.0,4,4,services,3,other,5,1,1,3
92,0.0,16,1.0,3,3,other,1,other,3,2,2,3
93,0.0,16,1.0,5,4,teacher,2,services,3,1,1,1
94,1.0,15,1.0,4,2,services,2,health,4,4,1,1
95,0.0,15,1.0,3,1,at_home,1,other,2,1,1,1
96,1.0,16,1.0,3,4,services,3,other,3,4,1,1
97,0.0,16,1.0,4,2,other,1,other,5,5,1,1
98,0.0,16,1.0,5,4,other,4,other,4,1,1,2
99,0.0,16,1.0,5,4,other,3,at_home,5,3,1,1
100,1.0,16,1.0,4,4,services,4,services,5,4,5,5
101,1.0,16,1.0,4,4,services,4,teacher,3,4,1,1
102,1.0,15,1.0,5,4,services,4,other,3,5,1,1
103,0.0,15,1.0,4,3,services,2,other,5,2,1,1
104,1.0,15,0.0,5,3,services,4,other,4,1,1,1
