sex,age,famsize,Pstatus,Medu,Fedu,famrel,Mjob,Fjob,studytime,failures,higher,absences,G3,romantic,freetime,goout,health,Dalc,Walc
F,18,GT3,A,4,4,4,at_home,teacher,2,0,yes,6,6,no,3,4,3,1,1
F,17,GT3,T,1,1,5,at_home,other,2,0,yes,4,6,no,3,3,3,1,1
F,15,LE3,T,1,1,4,at_home,other,2,3,yes,10,10,no,3,2,3,2,3
F,15,GT3,T,4,2,3,health,services,3,0,yes,2,15,yes,2,2,5,1,1
F,16,GT3,T,3,3,4,other,other,2,0,yes,4,10,no,3,2,5,1,2
M,16,LE3,T,4,3,5,services,other,2,0,yes,10,15,no,4,2,5,1,2
M,16,LE3,T,2,2,4,other,other,2,0,yes,0,11,no,4,4,3,1,1
F,17,GT3,A,4,4,4,other,teacher,2,0,yes,6,6,no,1,4,1,1,1
M,15,LE3,A,3,2,4,services,other,2,0,yes,0,19,no,2,2,1,1,1
M,15,GT3,T,3,4,5,other,other,2,0,yes,0,15,no,5,1,5,1,1
F,15,GT3,T,4,4,3,teacher,health,2,0,yes,0,9,no,3,3,2,1,2
F,15,GT3,T,2,1,5,services,other,3,0,yes,4,12,no,2,2,4,1,1
M,15,LE3,T,4,4,4,health,services,1,0,yes,2,14,no,3,3,5,1,3
M,15,GT3,T,4,3,5,teacher,other,2,0,yes,2,11,no,4,3,3,1,2
M,15,GT3,A,2,2,4,other,other,3,0,yes,0,16,yes,5,2,3,1,1
F,16,GT3,T,4,4,4,health,other,1,0,yes,4,14,no,4,4,2,1,2
F,16,GT3,T,4,4,3,services,services,3,0,yes,6,14,no,2,3,2,1,2
F,16,GT3,T,3,3,5,other,other,2,0,yes,4,10,no,3,2,4,1,1
M,17,GT3,T,3,2,5,services,services,1,3,yes,16,5,no,5,5,5,2,4
M,16,LE3,T,4,3,3,health,other,1,0,yes,4,10,no,1,3,5,1,3
M,15,GT3,T,4,3,4,teacher,other,2,0,yes,0,15,no,4,1,1,1,1
M,15,GT3,T,4,4,5,health,health,1,0,yes,0,15,no,4,2,5,1,1
M,16,LE3,T,4,2,4,teacher,other,2,0,yes,2,16,no,5,1,5,1,3
M,16,LE3,T,2,2,5,other,other,2,0,yes,0,12,no,4,4,5,2,4
F,15,GT3,T,2,4,4,services,health,3,0,yes,2,8,no,3,2,5,1,1
F,16,GT3,T,2,2,1,services,services,1,2,yes,14,8,no,2,2,5,1,3
M,15,GT3,T,2,2,4,other,other,1,0,yes,2,11,no,2,2,5,1,2
M,15,GT3,T,4,2,2,health,services,1,0,yes,4,15,no,2,4,1,2,4
M,16,LE3,A,3,4,5,services,other,2,0,yes,4,11,no,3,3,5,1,1
M,16,GT3,T,4,4,4,teacher,teacher,2,0,yes,16,11,yes,4,5,5,5,5
M,15,GT3,T,4,4,5,health,services,2,0,yes,0,12,no,4,2,5,3,4
M,15,GT3,T,4,4,4,services,services,2,0,yes,0,17,no,3,1,5,1,1
M,15,GT3,T,4,3,4,teacher,at_home,2,0,yes,0,16,yes,5,2,5,1,1
M,15,LE3,T,3,3,5,other,other,2,0,yes,0,12,no,3,2,2,1,1
M,16,GT3,T,3,2,5,other,other,1,0,yes,0,15,no,4,3,5,1,1
F,15,GT3,T,2,3,3,other,other,1,0,yes,0,6,no,5,1,5,1,1
M,15,LE3,T,4,3,5,teacher,services,3,0,yes,2,18,no,4,3,4,1,1
M,16,GT3,A,4,4,2,other,teacher,3,0,yes,7,15,yes,4,3,5,1,1
F,15,GT3,T,3,4,4,services,health,3,0,yes,2,11,no,3,2,5,1,1
F,15,GT3,T,2,2,4,at_home,other,1,0,yes,8,13,no,3,1,2,1,1
F,16,LE3,T,2,2,3,other,other,2,1,yes,25,11,yes,3,3,3,1,2
M,15,LE3,T,4,4,5,teacher,other,1,0,yes,8,12,yes,4,3,5,2,4
M,15,GT3,T,4,4,4,services,teacher,2,0,yes,2,18,no,3,3,5,1,1
M,15,GT3,T,2,2,5,services,services,1,0,yes,0,11,no,4,1,1,1,1
F,16,LE3,T,2,2,4,other,at_home,2,1,yes,14,9,no,3,3,5,2,2
F,15,LE3,A,4,3,5,other,other,2,0,yes,8,6,yes,2,2,5,1,1
F,16,LE3,A,3,3,2,other,services,2,0,yes,12,11,no,3,5,3,1,4
M,16,GT3,T,4,3,4,health,services,4,0,yes,4,20,no,2,2,2,1,1
M,15,GT3,T,4,2,4,teacher,other,2,0,yes,2,14,no,3,3,5,2,2
F,15,GT3,T,4,4,4,services,teacher,2,1,yes,2,7,no,4,4,3,1,1
F,16,LE3,T,2,2,4,services,services,2,0,yes,2,13,no,3,3,4,2,3
F,15,LE3,T,4,2,4,health,other,2,0,yes,2,13,no,3,3,5,1,1
M,15,LE3,A,4,2,5,health,health,1,1,yes,6,10,no,5,5,5,3,4
F,15,GT3,T,4,4,3,services,services,1,0,yes,0,11,no,3,4,5,2,3
F,15,LE3,A,3,3,5,other,other,1,0,yes,6,13,no,3,4,1,4,4
F,16,GT3,A,2,1,5,other,other,2,0,yes,8,10,yes,3,4,2,1,1
F,15,GT3,A,4,3,4,services,services,2,0,yes,0,15,no,3,2,1,1,1
M,15,GT3,T,4,4,3,teacher,health,2,0,yes,4,15,no,2,2,5,1,1
M,15,LE3,T,1,2,4,other,at_home,2,0,yes,2,9,no,3,2,5,1,1
F,16,GT3,T,4,2,4,services,other,2,0,yes,2,16,no,2,3,5,1,1
F,16,GT3,T,4,4,2,health,teacher,2,0,yes,6,11,no,4,4,4,2,3
F,16,GT3,T,1,1,5,services,services,1,0,yes,6,11,yes,5,5,5,5,5
F,16,LE3,T,1,2,4,other,services,2,0,yes,4,9,no,4,3,1,1,1
F,16,GT3,T,4,3,3,teacher,health,3,0,yes,2,9,no,4,4,4,2,4
F,15,LE3,T,4,3,4,services,services,2,0,yes,0,10,yes,4,4,2,2,4
F,16,LE3,T,4,3,5,teacher,services,2,0,yes,2,15,no,4,3,1,1,2
M,15,GT3,A,4,4,1,other,services,4,0,yes,4,12,yes,3,3,3,5,5
F,16,GT3,T,3,1,4,services,other,4,0,yes,4,6,no,3,3,5,1,2
F,15,LE3,T,2,2,4,health,services,2,0,yes,2,8,no,1,3,4,1,3
F,15,LE3,T,3,1,4,other,other,4,0,yes,12,16,no,4,2,3,2,3
M,16,GT3,T,3,1,4,other,other,4,0,yes,0,15,no,3,2,5,1,1
M,15,GT3,T,4,2,3,other,other,4,0,yes,0,10,no,3,3,3,1,1
F,15,GT3,T,1,1,3,other,other,2,2,yes,2,5,yes,3,4,5,2,4
M,16,GT3,T,3,1,5,other,other,1,0,yes,2,14,no,3,2,5,2,2
F,16,GT3,T,3,3,4,other,services,2,0,yes,54,11,no,3,3,5,2,4
M,15,GT3,T,4,3,4,teacher,other,2,0,yes,6,10,no,3,3,5,2,3
M,15,GT3,T,4,0,3,teacher,other,4,0,yes,8,10,no,4,3,1,1,1
F,16,GT3,T,2,2,5,other,other,4,0,yes,0,11,yes,2,3,3,1,3
M,17,GT3,T,2,1,4,other,other,1,3,no,2,10,no,5,1,3,1,1
F,16,GT3,T,3,4,2,at_home,other,2,0,yes,12,5,no,4,3,3,1,2
M,15,GT3,T,2,3,3,other,services,1,0,yes,2,12,yes,2,2,3,1,3
M,15,GT3,T,2,3,5,other,other,3,0,yes,4,11,no,3,2,5,1,2
F,15,LE3,T,3,2,4,services,other,2,0,yes,10,6,no,4,4,5,1,1
M,15,LE3,T,2,2,5,services,services,2,0,yes,4,15,no,3,3,4,1,3
F,15,GT3,T,1,1,4,other,other,2,0,yes,2,10,no,3,2,4,2,3
F,15,GT3,T,4,4,4,services,services,2,2,yes,6,8,yes,4,4,5,2,3
F,16,LE3,T,2,2,4,at_home,other,2,0,yes,4,6,no,3,4,2,1,2
F,15,GT3,T,4,2,5,other,other,3,0,yes,4,14,no,3,3,1,1,3
M,16,GT3,T,2,2,4,services,other,2,1,yes,12,10,no,4,2,3,1,1
M,16,LE3,A,4,4,4,teacher,health,2,0,yes,18,7,no,1,3,5,3,5
F,16,GT3,T,3,3,4,other,other,3,0,yes,0,8,yes,3,3,4,1,3
F,15,GT3,T,4,3,4,services,other,1,0,yes,4,18,no,5,5,1,1,3
